Videos,Date,Celebrity,eye:winged,eye:effect,eye:smokey,eye:glitter,liner:just_eyeliner,liner:graphic liner,liner:winged,liner:lower_accent color,lip:effect,skin:darker,skin:paler,skin:effect,occasion:day,occasion:day_event,occasion:work,occasion:work_creative,occasion:work_party,occasion:evening,occasion:evening_party,occasion:evening_blacktie,occasion:masquerade,occasion:bridal,occasion:first_date,lip:bold,style:classic_graphic,style:classic_outline,style:glam_classic,style:glam_outline,style:urban_glam,style:edgy,style:trendy,style:boho,style:casual_chic,style:retro,eye_color:white,eye_color:pink,eye_color:peach,eye_color:red,eye_color:orange,eye_color:coral,eye_color:yellow,eye_color:green,eye_color:turquoise,eye_color:lightblue,eye_color:blue,eye_color:plum,eye_color:purple,eye_color:silver,eye_color:gold,eye_color:nude,eye_color:copperbronze,eye_color:brown,eye_color:taupe,eye_color:grey,eye_color:black,lip_color:brownbronze,lip_color:nude,lip_color:red,lip_color:berryplum,lip_color:softpink,lip_color:brightpink,lip_color:other,eyes:enhance,eyes:use,eyes:create,lips:use,lips:create,face:create,face:use,face:fix,face:use,skin:fix,skin:care,nails:create,hair:care,hair:create,looks,tools:product,tools:care,tools:use
tSP3Yqqk1Vg,12-Feb-11,Adele,,,,,,,x,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
3neYfvPKkXE,22-Aug-10,Alice Cullen,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
J4K4BdUOcKo,4-Jan-11,Angelina Jolie,,,,,,,,,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
uUJaqWWMn6E,23-Nov-10,Audrey Hepburn,,,,,x,,x,,,,,,,x,,,,,,x,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,
2FV7F0ApiB4,9-Oct-10,Beyonce,,,,,,x,,,,,,,,,,,,,x,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,
sHzRCkgXO-A,25-Feb-11,Beyonce,,,,,,,x,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
KtSdfq9VE2s,22-Feb-10,Blake Lively,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
_g_St-e2cp8,23-Jan-11,Britney Spears,,,,,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
d1xkqinZO5U,4-Sep-10,Charlize Theron,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,X,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,
g13rC60hqMA,21-Oct-10,Cher Lloyd,,,,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
